cluster,Predicted SM
Ta1Tc1Co1V1O2N1C1-,3
Nb1Fe3N2-,10
W3La1O1C1+,1
Ta1Hf2Tc1O4+,2
Os2W1Ag1N3C1+,2
Zr3Cr1O1N2,4
Re1Cd1Ru1Zr1S2C1,2
Ta2Cu2N1C2,2
Rh1Ti3S2C1,1
Ta1Hf2Zr1S1O3+,1
Au1Pt1Hf1Rh1O1N2,1
Y2Cu2S1O1,1
Hg1Ta1Zr1Ti1O2C2+,1
Re1Ta2Nb1O4+,1
Os3Mn1C1+,7
Ag1V1Ti2S1N2C1+,1
Ta1Zn2Cr1O1N1,5
Hg1La1Zr1Fe1S1C1+,3
Nb1Cu1Co1Cr1O1N2C1-,4
Rh2Mo2C3+,2
Pt1Hf2Zr1O3C1+,2
Hg1Ta1Ni1Sc1S1O3-,2
Ta1Co1Mn1V1C3+,6
Au1Zr2Co1N2-,3
V1Ni1Ag1Hg1-,4
Rh1Zr1Y1Sc1S1N1+,1
Os1Pd2Mo1S1N1C1,2
Ir1Zr2Ti1O4,2
Ta1Ni1V2O2N1+,3
Pt1La1Cd1Co1S1N1+,3
Au1Os1Hf1Y1N1C1+,1
Ta1Cd1Ni2O1N2,1
Re1Rh1Y1Fe1S2,3
Os1Rh1Ru1Sc1O1N1C1-,2
W3Os1,3
Mo4O1,3
Hf2Zn1Cr1S1O1N2,6
Ir1Pd1Nb1Ti1S3O1+,2
Zn1Ni1Co1V1S2O2-,6
Mo2Y2C1-,1
Ir2Zn2N2,3
Os1Ta2Nb1O2N1C1+,1
Re1Ta1Ru1Ni1O2N1-,3
Os1Ta1Hf1Y1O4,1
Hf1Ru1Zr1Co1O2N2+,2
Ir1Ta1Zr1Ti1O4+,2
Ag1Co3S2-,8
Re1Pd1Cu1V1S2O1N1-,2
Mo1Zn1Ni2O1C2-,4
Zn1Cr2V1O1N1-,4
W3Cu1S2N1+,2
La2Fe1V1S1O1N1,4
Hg1Au1Cd1Fe1O2N1C1+,2
W1Hf1Zr2O4+,2
