cluster,Predicted SM
Tc1Nb2V1S1O2-,2.794690157819587
Ta2Hf1Zr1O2N1C1+,1.6524157733226272
Ta1Hf1Zr1Ti1O4+,1.579861582324786
Hg1Cu1Cr1V1O1N1+,6.660497700498927
Hf1Cu2V1N1C3-,2.733034668913876
Ta1Fe1Cr2O1C2+,4.90065452544268
W1Ta1Nb2C4+,2.1215310689401425
Ta4C4+,1.79809607479779
Rh1Mn3N1+,14.902827026878498
Os1Ta3O2N1C1+,1.61422099517952
Hg1Mn2Cr1N2C2,8.93012454416171
Au1Pd1Cu1Fe1C3+,3.123335959250737
Pd2Ir2,4.129891908971037
Pt1Rh1Mn1Sc1O2N1C1-,6.310254962957035
Ag1Y1Mn2O2C1-,8.41612515062516
Pt3Y1S1+,1.662170121709894
Cd1Rh1Ru1Tc1O1N3,1.665460237263079
Hf1Rh2Ti1S2C1+,1.7244897054232675
Co4O1-,9.85702244107364
Hf3Ag1N2,2.212911807288433
Hf2Tc1Cr1O1N3+,5.280556292620483
Zn1V3C3,1.7178067318904922
W1La1Mo1Fe1S1O1N1C1,3.350067193217674
Cr3Sc1S2-,4.251425223550693
Cd1Mo2Zn1O2C1+,1.5978975950006535
Tc2V2S1C1+,2.896110651811753
Os1W1Fe1Cr1S2C1,7.404250075146979
Au1Pt2Zn1O4,2.492494477919763
Pt2Fe1Mn1O2,7.279961762033271
Zr1Co3S2-,7.255549993933518
Pd1Zr1Y1Co1S1N1,2.4820251592702247
Hg1Au1V1Ti1N1C2,2.0503840173460097
Pd1Rh1Nb1V1S1+,2.2055244605876605
Os1Hf1Zr2O3C1+,1.6029303846674685
W1Ta1Cu1Ni1O2C1-,1.974086001122952
Hg1Mo3C1+,2.432220391057513
Hg2Ag1Ti1O1N2,1.6631044580261491
Re1Ta1Nb1Y1S1C1+,1.6716071308899303
Os1Nb1Zn2S1O1C2+,1.663686512831499
Zr3Ni1S2C1,1.776500865913471
Hf3Ag1N1,2.008118568415058
W1Hf1Rh1Mn1S1O1,5.275814385238856
Ir2Nb2O1+,2.110924640965513
Re1Hf2Ru1S2N1C1+,2.254155567354205
Os3Zn1N1,2.760766157895853
Hg3Ru1O1+,2.48113298112145
Ti1Hf1Au1Hg1,3.794382234044488
Os3La1S1-,3.2695177362013905
Cu1Zr1Pd1W1,2.463513181526349
Re2Hf1Ni1S1C1+,2.0799310245834803
Ta1Nb1Fe1V1O3+,3.8494654330714586
Os1Zn3S1+,2.4218849494132746
Re1W1Y1Ni1S1O1-,2.807787913057361
Ag1Pd2Sc1O1N1,1.7853300389451472
Zr4O1-,2.814892868890952
Re1Co3S1N3+,7.0627732900716085
Au1Os1Fe1Sc1O2C1+,5.235709341277175
Ta2Hf1Ti1O4-,2.380455111016448
Re1Ta2Hf1O2C2+,1.6023300613699898
Ta1Mo3S1+,1.7557289582653255
Hf1Cd1Mo1Co1O1C1,3.1706082881871973
Mo1Cr3N1C1+,9.060318209823429
W1Ta2Hf1O4+,1.618351144134217
Ir1Hf2Nb1O2C2+,1.607909094491783
Ta1Tc3S3+,2.8274227850891243
Cd1Zn2Ni1N3C1-,1.7723154491765236
Ru4C1,6.622108941937895
Mo2Cr2C2-,4.837526426000706
Ir1Hf1Rh1V1S2N2-,2.654438417165683
La3Fe1O1N3+,3.916847375476898
