cluster,AEPA
Hg1Co1N1-,1.7164
La1Tc1O1N1-,4.0395
Ru1Cr1C2-,3.7089
Ag1V1O1C1-,3.5563
La1Nb1O2,4.6039
Cr1Zr1+,1.2233
Cr1Zr1-,1.0346
Re1Rh1N2+,3.5487
Ni1Sc1N1,2.6890
Ag1Ti1S1O1-,3.5451
Ni1Sc1N2,3.2931
Tc1Zn1O1C1-,3.3789
Ag1Ti1S1O1+,3.2726
Re1Ru1S1C1+,3.6026
Au1Ru1S2+,2.5427
Cd1Mo1O1N1,2.9496
Co1Ti1O1,3.2846
Rh1Nb1N1+,3.3079
Rh1Zr1S1O1,4.1431
Re1Ru1S1C1-,3.6725
Ni1Cr1S1C1+,3.2045
Ta1Mo1O2,4.3344
Ru1Ti1N1C1+,4.2496
Mo1V1O1N1,3.7549
Re1Hf1S1O1,3.9502
Ni1Cr1S1C1-,2.9520
Zn1Cr1S1O1-,2.5088
Hf1Zn1O1N1,3.2721
Y1Mo1-,1.2566
Hg1Cu1S1C1,2.3455
Y1Mo1+,1.1924
Os1Mn1S1C1+,3.5362
Ta1Cr1C2,4.0223
Y1Sc1O1N1-,4.3286
Fe1V1S1C1-,3.2839
La2S2+,4.0592
La1Sc1N1+,3.3584
Os1Zr1O1C1-,4.8774
Re1Co1O1C1-,3.8981
Os1Zr1O1C1+,4.6645
Re1Co1O1C1+,3.8776
Hg1W1N1C1,2.8841
Fe1V1S1C1+,3.3611
Co1Os1+,2.0120
Os1Cu1N1+,2.8901
Co1Os1-,1.5645
Os1Cu1N1-,2.8779
Y1Cr1S1N1,3.3555
Nb1Zn1O1+,2.9822
Zr1Cr1S1-,2.3006
Rh1Y1C2-,4.3992
Nb1Zn1O1-,2.7672
Y1Mn1O1C1+,3.8628
Nb1Cu1S1O1-,3.8195
Cd1Ag1S1C1+,2.6574
Ru1Tc1S1O1,3.5462
Rh2S1O1,2.9749
Co1Ti1O1C1,3.8638
Nb1Cu1S1O1+,3.7816
Cd1Ag1S1C1-,2.0230
Ag1Sc1N2-,3.0096
Re1Sc1O1C1,4.2179
Pt1Y1S2,3.5830
La1Sc1N1-,3.2527
Ag1Sc1N2+,3.0676
Ir1Ru1S1C1-,3.6742
La1Nb1S1N1+,4.2052
Y1Co1O1N1+,3.7518
Re1Y1N2,3.9643
Ir1Ru1S1C1+,3.8483
Pt1Ru1C2,4.1831
Hf1Cr1N2,3.6683
Hf1Cr1N1,2.8675
Pt1Ru1C1,3.4681
Pd2N1C1+,3.6919
Zn1Fe1N1C1-,3.1485
Zn1Cu1O1+,1.7216
Cd1Tc1N1+,2.2408
Mo1Cr1O1N1,3.3339
La1Y1C1,2.9964
Zn1Cu1O1-,1.6222
Cd1Tc1N1-,2.3484
Tc2S1O1,3.5898
Ir1Mo1S1O1-,3.8891
Cu1V1O1,2.9634
Cu1V1O2,3.7449
Zn1Cr1O2+,2.6826
Ru1Ni1S1N1+,3.2061
Tc1Ti1N2,3.8234
W1Tc1O1-,3.6686
Ru1Ni1S1N1-,3.2093
Au1Ni1S1N1-,2.5737
Hg1Y1O1,2.5105
Hg1Y1O2,3.0223
Ni1Pt1,1.7036
Au2S1N1,2.0750
Pd1Tc1N1C1-,3.9103
Au1Ni1S1N1+,2.4968
Mo1Ti1S1C1,3.8416
Ir1La1N2-,3.7435
Ag1Zn1C2-,2.9314
Ag1Zn1C2+,3.0308
Ir1La1N2+,3.8873
Y1Fe1S1O1-,3.6947
Os1Fe1S1O1+,3.5148
Pt1Pd1N1C1-,3.7977
Hg1Ni1N1C1,3.2436
W1Y1S1O1,4.0508
Pt1Fe1C1+,3.2755
Ir1Cr1O1C1,3.9990
Tc1Re1,1.6780
Rh1Fe1N1-,2.5334
Hf1Mn1O1-,3.1980
Cr1Hg1+,0.4669
Hg1Mo1O1N1+,2.9166
Y1Zn1S1N1-,2.6018
Hg1Mo1O1N1-,3.1102
Y1Zn1S1N1+,2.5683
Cr1Hg1-,0.2916
Sc1Cr1-,0.7056
W1Ni1S1O1+,3.9506
Sc1Cr1+,0.9114
Re1Ag1O1-,2.5805
Zn2O1C1-,2.4968
