cluster,EZPE
Ir1Ni1S1O1,-2086.248455
Ru1Zn1N2+,-1983.573014
Zr1Ti1S1,-1294.725452
Zr1Ti1S2,-1693.100913
Mo1Ta1,-125.068819
Y1Au1-,-174.025657
Os1Rh1S1C1-,-637.598898
Pt1Tc1O1N1,-330.164511
Ta2S2+,-910.308843
Pt1Zr1S1-,-564.72734
Os1Rh1S1C1+,-637.273648
Re1Ag1O1C1-,-338.631827
Ta1Mo1S2+,-921.497969
Cd1Ru1S1N1+,-715.325812
Ta1Mo1S2-,-921.786066
Cd1Ru1S1N1-,-715.67624
Nb1V1S1N1-,-1454.101008
Hg1Sc1S1C1,-1350.460835
Ir1Nb1S1O1,-634.90477
Re1Ni1S1+,-1984.607119
Cu1V1S1C1,-3020.875673
Re1Ni1S1-,-1984.914711
Sc1Pd1-,-888.591088
Ag1Mo1O2,-365.738239
Ag1Mo1O1,-290.385947
Nb1Mn1O1C1+,-1321.121003
Re1Rh1C2,-264.931298
Nb1Mn1O1C1-,-1321.386768
Zn1Ti1O1,-2704.151751
Re1Rh1C1,-226.811121
Sc1Pd1+,-888.354099
Ag1Nb1O1N1+,-333.731516
Ag1Nb1O1N1-,-334.047729
Y1Ti1S1O1-,-1361.469377
Os1Nb1O1,-222.904218
La1Y1S1C1+,-506.057349
Os1La1O1+,-197.311528
Ta1Cr1N1,-1156.222931
Os1La1O1-,-197.553313
Ag1Cr1N1C1,-1284.325062
La1Y1S1C1-,-506.278375
Tc1Au1+,-216.199379
Au1Re1S1-,-612.300323
Ir2S1N1+,-661.393099
Hg1Zn1C2+,-2008.680366
Cd1Fe1S1N1-,-1884.530948
Au1Os1S1O1+,-699.628239
Rh1Fe1S1O1+,-1847.548384
Au1Os1S1O1-,-700.041047
Hg1Zn1C2-,-2009.022709
Cd1Fe1S1N1+,-1884.214768
Zr1Mn1N2,-1307.653874
W1Sc1S1O1,-1301.397271
Y1Ir1+,-142.410722
Y1Co1C2-,-1497.31748
Rh1Cr1N1C1,-1247.925018
Y1Co1C2+,-1497.067908
Cd1Ti1O1C1,-1130.516108
Ir1Au1,-239.982772
Nb1Co1C1-,-1477.802
Os1Nb1O1N1+,-277.440642
Zn1V1C2,-2799.515139
Re1Mn1S1O1,-1702.889786
W1La1N1,-153.390641
Nb1Co1C1+,-1477.517758
Os1Nb1O1N1-,-277.769356
Hg1Co1N1+,-1590.702921
La1Tc1O1N1+,-242.272303
Hg1Co1N1-,-1591.027759
La1Tc1O1N1-,-242.505609
Ru1Cr1C2-,-1215.553295
Ag1V1O1C1-,-1204.36422
La1Nb1O2,-239.179018
Cr1Zr1+,-1091.201179
Cr1Zr1-,-1091.438946
Re1Rh1N2+,-298.094114
Ni1Sc1N1,-2323.832063
Ag1Ti1S1O1-,-1470.100438
Ni1Sc1N2,-2378.632624
Tc1Zn1O1C1-,-1973.582331
Ag1Ti1S1O1+,-1469.769387
Re1Ru1S1C1+,-609.198641
Au1Ru1S2+,-1026.812721
Cd1Mo1O1N1,-365.951532
Co1Ti1O1,-2307.578483
Rh1Nb1N1+,-221.989787
Rh1Zr1S1O1,-631.18563
Re1Ru1S1C1-,-609.545904
Ni1Cr1S1C1+,-2988.964773
Ta1Mo1O2,-275.768822
Ru1Ti1N1C1+,-1037.020352
Mo1V1O1N1,-1142.280028
Re1Hf1S1O1,-599.83688
Ni1Cr1S1C1-,-2989.250762
Zn1Cr1S1O1-,-3297.523253
Hf1Zn1O1N1,-1957.446274
Y1Mo1-,-106.402022
Hg1Cu1S1C1,-2230.326288
Y1Mo1+,-106.164389
Os1Mn1S1C1+,-1677.7937
Ta1Cr1C2,-1177.611573
Y1Sc1O1N1-,-929.222028
Fe1V1S1C1-,-2644.149584
La2S2+,-859.622811
La1Sc1N1+,-846.890153
Os1Zr1O1C1-,-251.157818
Re1Co1O1C1-,-1574.494653
Os1Zr1O1C1+,-250.850658
Re1Co1O1C1+,-1574.178612
Hg1W1N1C1,-313.316276
Fe1V1S1C1+,-2643.859699
Co1Os1+,-1473.163123
Os1Cu1N1+,-1785.699152
Co1Os1-,-1473.444131
Os1Cu1N1-,-1786.018133
Y1Cr1S1N1,-1535.90823
Nb1Zn1O1+,-1911.384486
Zr1Cr1S1-,-1489.79755
Rh1Y1C2-,-225.080523
Nb1Zn1O1-,-1911.647825
Y1Mn1O1C1+,-1302.510005
